,toMaturity,strike,midPrice
0,0.010958904109589041,5.0,219.275
1,0.010958904109589041,10.0,214.275
2,0.010958904109589041,15.0,212.575
3,0.010958904109589041,20.0,203.5
4,0.010958904109589041,25.0,199.275
5,0.010958904109589041,30.0,194.275
6,0.010958904109589041,40.0,187.6
7,0.010958904109589041,50.0,174.325
8,0.010958904109589041,55.0,116.17500000000001
9,0.010958904109589041,65.0,159.325
10,0.010958904109589041,70.0,154.325
11,0.010958904109589041,75.0,149.325
12,0.010958904109589041,80.0,144.325
13,0.010958904109589041,85.0,147.075
14,0.010958904109589041,90.0,134.325
15,0.010958904109589041,95.0,135.75
16,0.010958904109589041,100.0,124.375
17,0.010958904109589041,105.0,119.375
18,0.010958904109589041,110.0,114.375
19,0.010958904109589041,115.0,109.375
20,0.010958904109589041,120.0,104.375
21,0.010958904109589041,125.0,99.2
22,0.010958904109589041,130.0,94.375
23,0.010958904109589041,135.0,89.375
24,0.010958904109589041,140.0,84.4
25,0.010958904109589041,145.0,79.4
26,0.010958904109589041,150.0,74.4
27,0.010958904109589041,155.0,69.42500000000001
28,0.010958904109589041,160.0,64.42500000000001
29,0.010958904109589041,165.0,59.425
30,0.010958904109589041,170.0,54.400000000000006
31,0.010958904109589041,175.0,49.425
32,0.010958904109589041,180.0,44.425
33,0.010958904109589041,185.0,39.400000000000006
34,0.010958904109589041,190.0,34.425
35,0.010958904109589041,192.5,31.9
36,0.010958904109589041,195.0,29.425
37,0.010958904109589041,197.5,26.9
38,0.010958904109589041,200.0,24.5
39,0.010958904109589041,202.5,22.0
40,0.010958904109589041,205.0,19.5
41,0.010958904109589041,207.5,17.025
42,0.010958904109589041,210.0,14.5
43,0.010958904109589041,212.5,12.05
44,0.010958904109589041,215.0,9.625
45,0.010958904109589041,217.5,7.25
46,0.010958904109589041,220.0,5.1
47,0.010958904109589041,222.5,3.2249999999999996
48,0.010958904109589041,225.0,1.8
49,0.010958904109589041,227.5,0.88
50,0.010958904109589041,230.0,0.4
51,0.010958904109589041,232.5,0.175
52,0.010958904109589041,235.0,0.08499999999999999
53,0.010958904109589041,237.5,0.035
54,0.010958904109589041,240.0,0.015
55,0.010958904109589041,242.5,0.015
56,0.010958904109589041,245.0,0.015
57,0.010958904109589041,247.5,0.015
58,0.010958904109589041,250.0,0.005
59,0.010958904109589041,252.5,0.005
60,0.010958904109589041,255.0,0.005
61,0.010958904109589041,257.5,0.005
62,0.010958904109589041,260.0,0.005
63,0.010958904109589041,265.0,0.005
64,0.010958904109589041,270.0,0.005
65,0.010958904109589041,275.0,0.005
66,0.010958904109589041,280.0,0.005
67,0.010958904109589041,285.0,0.005
68,0.010958904109589041,290.0,0.005
69,0.010958904109589041,295.0,0.005
70,0.010958904109589041,300.0,0.005
71,0.010958904109589041,305.0,0.005
72,0.010958904109589041,310.0,0.005
73,0.010958904109589041,315.0,0.005
74,0.010958904109589041,320.0,0.005
75,0.010958904109589041,330.0,0.005
76,0.010958904109589041,340.0,0.005
77,0.010958904109589041,350.0,0.005
78,0.010958904109589041,360.0,0.005
79,0.010958904109589041,370.0,0.005
156,0.030136986301369864,100.0,124.45
157,0.030136986301369864,130.0,94.525
158,0.030136986301369864,135.0,89.55
159,0.030136986301369864,140.0,84.55
160,0.030136986301369864,145.0,79.55
161,0.030136986301369864,150.0,74.575
162,0.030136986301369864,160.0,64.6
163,0.030136986301369864,165.0,59.599999999999994
164,0.030136986301369864,170.0,54.599999999999994
165,0.030136986301369864,175.0,49.625
166,0.030136986301369864,180.0,44.650000000000006
167,0.030136986301369864,185.0,39.650000000000006
168,0.030136986301369864,190.0,34.675
169,0.030136986301369864,195.0,29.725
170,0.030136986301369864,197.5,27.225
171,0.030136986301369864,200.0,24.725
172,0.030136986301369864,202.5,22.35
173,0.030136986301369864,205.0,19.825000000000003
174,0.030136986301369864,207.5,17.375
175,0.030136986301369864,210.0,14.95
176,0.030136986301369864,212.5,12.575
177,0.030136986301369864,215.0,10.25
178,0.030136986301369864,217.5,8.1
179,0.030136986301369864,220.0,6.125
180,0.030136986301369864,222.5,4.4
181,0.030136986301369864,225.0,2.975
182,0.030136986301369864,227.5,1.91
183,0.030136986301369864,230.0,1.165
184,0.030136986301369864,232.5,0.695
185,0.030136986301369864,235.0,0.405
186,0.030136986301369864,237.5,0.24
187,0.030136986301369864,240.0,0.14500000000000002
188,0.030136986301369864,242.5,0.09
189,0.030136986301369864,245.0,0.065
190,0.030136986301369864,247.5,0.045
191,0.030136986301369864,250.0,0.025
192,0.030136986301369864,252.5,0.02
193,0.030136986301369864,255.0,0.015
194,0.030136986301369864,257.5,0.015
195,0.030136986301369864,260.0,0.01
196,0.030136986301369864,265.0,0.01
197,0.030136986301369864,270.0,0.005
198,0.030136986301369864,275.0,0.005
199,0.030136986301369864,280.0,0.04
200,0.030136986301369864,285.0,0.005
201,0.030136986301369864,290.0,0.005
202,0.030136986301369864,295.0,0.005
203,0.030136986301369864,300.0,0.005
249,0.049315068493150684,100.0,124.525
250,0.049315068493150684,115.0,109.6
251,0.049315068493150684,135.0,89.7
252,0.049315068493150684,140.0,84.67500000000001
253,0.049315068493150684,145.0,79.725
254,0.049315068493150684,150.0,74.7
255,0.049315068493150684,155.0,69.725
256,0.049315068493150684,165.0,59.724999999999994
257,0.049315068493150684,170.0,54.8
258,0.049315068493150684,175.0,49.8
259,0.049315068493150684,180.0,44.825
260,0.049315068493150684,185.0,39.875
261,0.049315068493150684,190.0,34.875
262,0.049315068493150684,195.0,29.95
263,0.049315068493150684,200.0,24.975
